,error_type,annotation,prediction,token,full_text,sample_id,0
0,FP,O,LOCATION,Southern,"The Exversion Orchestra was founded in 1977. Since then, it has grown from a volunteer community orchestra to a fully professional orchestra serving Southern Tunisia",,
1,FP,O,LOCATION,Southern,"The Davis, Reynolds and Williamson Orchestra was founded in 1977. Since then, it has grown from a volunteer community orchestra to a fully professional orchestra serving Southern Italy",,
2,FP,O,LOCATION,Southern,"The Social Health Insights Orchestra was founded in 2002. Since then, it has grown from a volunteer community orchestra to a fully professional orchestra serving Southern Austria",,
3,FP,O,LOCATION,Southern,"The Clark, Romero and Hall Orchestra was founded in 1973. Since then, it has grown from a volunteer community orchestra to a fully professional orchestra serving Southern Poland",,
4,FP,O,LOCATION,Southern,"The Shepherd Ltd. Orchestra was founded in 1997. Since then, it has grown from a volunteer community orchestra to a fully professional orchestra serving Southern Canada",,
5,FP,O,LOCATION,Southern,"The Lending Club Orchestra was founded in 1990. Since then, it has grown from a volunteer community orchestra to a fully professional orchestra serving Southern Tunisia",,
6,FP,O,LOCATION,Southern,"The Garmin Orchestra was founded in 1971. Since then, it has grown from a volunteer community orchestra to a fully professional orchestra serving Southern Cyprus",,
7,FP,O,LOCATION,Southern,"The Jones, Smith and Davis Orchestra was founded in 1988. Since then, it has grown from a volunteer community orchestra to a fully professional orchestra serving Southern Switzerland",,
8,FP,O,LOCATION,Southern,"The Asc Partners Orchestra was founded in 2004. Since then, it has grown from a volunteer community orchestra to a fully professional orchestra serving Southern Hungary",,
9,FP,O,LOCATION,Southern,"The Golden Helix Orchestra was founded in 1978. Since then, it has grown from a volunteer community orchestra to a fully professional orchestra serving Southern Netherlands",,
10,FP,O,LOCATION,Southern,"The Redlaser Orchestra was founded in 1990. Since then, it has grown from a volunteer community orchestra to a fully professional orchestra serving Southern Estonia",,
