,error_type,annotation,prediction,token,full_text,sample_id,0
0,FN,PERSON,O,Szabina,"Krisztián Szöllösy listed his top 20 songs for Entertainment Weekly and had the balls to list this song at #15. (What did he put at #1 you ask? Answer:""Tube Snake Boogie"" by Szabina J Gelencsér ג€“ go figure)",,
1,FN,PERSON,O,J,"Krisztián Szöllösy listed his top 20 songs for Entertainment Weekly and had the balls to list this song at #15. (What did he put at #1 you ask? Answer:""Tube Snake Boogie"" by Szabina J Gelencsér ג€“ go figure)",,
2,FN,PERSON,O,Gelencsér,"Krisztián Szöllösy listed his top 20 songs for Entertainment Weekly and had the balls to list this song at #15. (What did he put at #1 you ask? Answer:""Tube Snake Boogie"" by Szabina J Gelencsér ג€“ go figure)",,
3,FN,PERSON,O,Yefremova,"When they weren't singing about Hobbits, satanic felines and interstellar journeys, they were singing about the verses from Faina D. Yefremova's Cautionary Tales. Is there a better example of unbridled creativity than early Yefremova?",,
4,FN,PERSON,O,Ubul,"Ubul: What a wife.
Nicole: Remember me, Mary? When I killed your brother, I talked just like this!
John: You saved my life! How can I ever repay you?",,
5,FN,PERSON,O,Siiri,My name is Siiri,,
6,FN,PERSON,O,Kónya,"Microbilt Corporation is the brainchild of our 3 founders: Kónya, Becker and Vasquez.  The idea was born (on the beach) while they were constructing a website to be the basis of another start-up idea.",,
7,FN,PERSON,O,Becker,"Microbilt Corporation is the brainchild of our 3 founders: Kónya, Becker and Vasquez.  The idea was born (on the beach) while they were constructing a website to be the basis of another start-up idea.",,
8,FN,PERSON,O,Vasquez,"Microbilt Corporation is the brainchild of our 3 founders: Kónya, Becker and Vasquez.  The idea was born (on the beach) while they were constructing a website to be the basis of another start-up idea.",,
9,FN,PERSON,O,Elínborg,A great song made even greater by a mandolin coda (not by Elínborg Guðmundsdóttir).,,
10,FN,PERSON,O,Guðmundsdóttir,A great song made even greater by a mandolin coda (not by Elínborg Guðmundsdóttir).,,
11,FN,PERSON,O,Gaetane,"They had 6: Gaetane, Hannah, Anthony, Derek, Anna and Andrew.",,
12,FN,PERSON,O,Brosca,"My great great grandfather was called Kevin Veitonen II, and my great great grandmother was called Brosca Erdôs",,
13,FN,PERSON,O,Erdôs,"My great great grandfather was called Kevin Veitonen II, and my great great grandmother was called Brosca Erdôs",,
14,FN,PERSON,O,Monjeau,"Collective Ip is the brainchild of our 3 founders: Monjeau, Graves and Reed.  The idea was born (on the beach) while they were constructing a website to be the basis of another start-up idea.",,
15,FN,PERSON,O,Leif,"Leif, can I please speak to your boss?",,
16,FN,PERSON,O,Halldór,"Halldór: What a wife.
Matthew: Remember me, Kelly? When I killed your brother, I talked just like this!
Melanie: You saved my life! How can I ever repay you?",,
17,FN,PERSON,O,Tomomi,"Tomomi is from Hawkins, Richardson and Santana",,
18,FN,PERSON,O,Usamov,Is there a better crafted pop song on this list? Usamov and Bowers were precision engineers.,,
19,FN,PERSON,O,Bowers,Is there a better crafted pop song on this list? Usamov and Bowers were precision engineers.,,
20,FN,PERSON,O,Warrane,"Warrane, can I please speak to your boss?",,
21,FN,PERSON,O,bertram,"the true gender of bertram has been under debate for years, but the riff and building energy is a rock masterpiece regardless.",,
22,FN,PERSON,O,Asya,"Asya spent a year at Allstate Insurance Group as the assistant to Asya Godina, and the following year at Balefire Global in Amsterdam, which later became Zillow in 2014.",,
23,FN,PERSON,O,Willemine,Willemine ten Pas will be talking in the conference,,
24,FN,PERSON,O,Pas,Willemine ten Pas will be talking in the conference,,
25,FN,PERSON,O,Szczepańska,Wisława Szczepańska's killers sentenced to life in prison,,
26,FN,PERSON,O,Szczepańska,Wisława Szczepańska's killers sentenced to life in prison,,
27,FN,PERSON,O,Homero,Have you been to a Homero Portillo concert before?,,
28,FN,PERSON,O,Portillo,Have you been to a Homero Portillo concert before?,,
29,FN,PERSON,O,Elita,Maybe it's under Elita B Desaulniers,,
30,FN,PERSON,O,B,Maybe it's under Elita B Desaulniers,,
31,FN,PERSON,O,Desaulniers,Maybe it's under Elita B Desaulniers,,
32,FN,PERSON,O,Eustachy,Have you been to a Eustachy Gorski concert before?,,
33,FN,PERSON,O,Gorski,Have you been to a Eustachy Gorski concert before?,,
34,FN,PERSON,O,Bekbolat,"The name in the account is not correct, please change it to Bekbolat Musliyevich",,
35,FN,PERSON,O,Musliyevich,"The name in the account is not correct, please change it to Bekbolat Musliyevich",,
