,error_type,annotation,prediction,token,full_text,sample_id,0
0,FN,NRP,O,English,From the film English graffiti (also features Kate M Begum. What's not to love?,,
1,FN,NRP,O,saudis,We are proud saudis,,
2,FN,NRP,O,English,"So where are we meeting? There's this nice new English place downtown. Cool, what's the address? Oh do they serve vegan stuff? It's in the corner of 35 Pentelis Str. and Waechter Turnpike",,
3,FN,NRP,O,shiis,We are proud shiis,,
4,FN,NRP,O,Japanese,The Japanese Border Force have detained top-flight tennis player Hülya Bouwmeester over visa disputes.,,
5,FN,NRP,O,American,The American Border Force have detained top-flight tennis player Erin Nyberg over visa disputes.,,
6,FN,NRP,O,Czech,The Czech Border Force have detained top-flight tennis player Amy Jones over visa disputes.,,
7,FN,NRP,O,Finnish,The Finnish Border Force have detained top-flight tennis player Teresa Kreutzmann over visa disputes.,,
8,FN,NRP,O,English,"So where are we meeting? There's this nice new English place downtown. Cool, what's the address? Oh do they serve vegan stuff? It's in Unit 1293 Box 4311
DPO AE 01708",,
9,FN,NRP,O,surinameses,we are proud surinameses,,
10,FN,NRP,O,Spanish,The Spanish Border Force have detained top-flight tennis player Kira Fransson over visa disputes.,,
11,FN,NRP,O,englishmans,We are proud englishmans,,
