,error_type,annotation,prediction,token,full_text,sample_id,0
0,FP,O,DATE_TIME,couple,follow up with patricia desrosiers in a couple of months.,,
1,FP,O,DATE_TIME,following,"Alvir spent a year at Weeks-Rivas as the assistant to Alvir D. Pušaver, and the following year at Healthpocket Inc in SCHLAGLES, which later became Credit Karma in 1980.",,
2,FP,O,DATE_TIME,60s,"""The big three"" of The Big Three Killed My Baby are the car manufacturers that dominate the economy of the White Stripes' home city Villafranca del Cid: White, Willis and Hoffman, Lucid and Loveland Technologies. ""Don't feed me planned obsolescence,"" says Liisa Lepistö in an uncharacteristically political song, lamenting the demise of the unions in the 60s.",,
3,FP,O,DATE_TIME,10th,"Celebrating its 10th year in Tobel, Transunion is a 501(c)3 that invites songwriters from around the world to Port Paien to share the universal language of music in collaborations designed to bridge cultures, build friendships and cultivate peace.",,
4,FP,O,DATE_TIME,8,Energetic and driven salesperson with 8+ years of professional experience in inbound and outbound sales. Awarded Salesperson of the Month three times. Helped increase inbound sales by 16% within the first year of employment. Looking to support Factset in Bjert 6091 in its mission to become a market-leading solution.,,
5,FP,O,DATE_TIME,following,"Asya spent a year at Allstate Insurance Group as the assistant to Asya Godina, and the following year at Balefire Global in Amsterdam, which later became Zillow in 2014.",,
6,FP,O,DATE_TIME,60s,"""The big three"" of The Big Three Killed My Baby are the car manufacturers that dominate the economy of the White Stripes' home city ΜΟΝΗ ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ: Ezxbrl, Henderson, Hicks and Brown and Abt Associates. ""Don't feed me planned obsolescence,"" says Hannah McConnan in an uncharacteristically political song, lamenting the demise of the unions in the 60s.",,
7,FP,O,DATE_TIME,couple,Follow up with Sigrid Nyström in a couple of months.,,
8,FP,O,DATE_TIME,Sunday,"At my suggestion, one morning over breakfast, she agreed, and on the last Sunday before Labor Day we returned to Mill Village by helicopter.",,
9,FP,O,DATE_TIME,Labor,"At my suggestion, one morning over breakfast, she agreed, and on the last Sunday before Labor Day we returned to Mill Village by helicopter.",,
10,FP,O,DATE_TIME,8,Energetic and driven salesperson with 8+ years of professional experience in inbound and outbound sales. Awarded Salesperson of the Month three times. Helped increase inbound sales by 16% within the first year of employment. Looking to support MysticWeb in Quinta de São Tiago 3610-114 in its mission to become a market-leading solution.,,
11,FP,O,DATE_TIME,8,Energetic and driven salesperson with 8+ years of professional experience in inbound and outbound sales. Awarded Salesperson of the Month three times. Helped increase inbound sales by 16% within the first year of employment. Looking to support Nautilytics in København K 1421 in its mission to become a market-leading solution.,,
12,FP,O,DATE_TIME,following,"Aristóteles spent a year at Jones, Mitchell and Williams as the assistant to Aristóteles Ávalos, and the following year at Poweradvocate in Bremen Ohlenhof, which later became Conway Inc. in 2014.",,
13,FP,O,DATE_TIME,10th,"Celebrating its 10th year in Laax, Environmental Data Resources is a 501(c)3 that invites songwriters from around the world to Niitabury to share the universal language of music in collaborations designed to bridge cultures, build friendships and cultivate peace.",,
14,FP,O,DATE_TIME,60s,"""The big three"" of The Big Three Killed My Baby are the car manufacturers that dominate the economy of the White Stripes' home city KIIKOINEN: Bekins, Enervee Corporation and Civic Insight. ""Don't feed me planned obsolescence,"" says Rebeca Souza in an uncharacteristically political song, lamenting the demise of the unions in the 60s.",,
15,FP,O,DATE_TIME,10th,"Celebrating its 10th year in Kędzierzyn-Koźle, Transunion is a 501(c)3 that invites songwriters from around the world to Pudičmouth to share the universal language of music in collaborations designed to bridge cultures, build friendships and cultivate peace.",,
16,FP,O,DATE_TIME,Sunday,"At my suggestion, one morning over breakfast, she agreed, and on the last Sunday before Labor Day we returned to Feliciano by helicopter.",,
17,FP,O,DATE_TIME,Labor,"At my suggestion, one morning over breakfast, she agreed, and on the last Sunday before Labor Day we returned to Feliciano by helicopter.",,
18,FP,O,DATE_TIME,couple,Follow up with Matheus Araujo in a couple of months.,,
19,FP,O,DATE_TIME,60s,"""The big three"" of The Big Three Killed My Baby are the car manufacturers that dominate the economy of the White Stripes' home city Assen: Demystdata, Reed Elsevier and T Rowe Price. ""Don't feed me planned obsolescence,"" says Fiammetta Zetticci in an uncharacteristically political song, lamenting the demise of the unions in the 60s.",,
20,FP,O,DATE_TIME,60s,"""The big three"" of The Big Three Killed My Baby are the car manufacturers that dominate the economy of the White Stripes' home city Station Nord: Ranku, Biovia and Miller Ltd.. ""Don't feed me planned obsolescence,"" says Pirjo Madetoja in an uncharacteristically political song, lamenting the demise of the unions in the 60s.",,
21,FP,O,DATE_TIME,sunday,"at my suggestion, one morning over breakfast, she agreed, and on the last sunday before labor day we returned to kiel by helicopter.",,
22,FP,O,DATE_TIME,10th,"Celebrating its 10th year in WINMALEE, Weeks-Rivas is a 501(c)3 that invites songwriters from around the world to Berggrenton to share the universal language of music in collaborations designed to bridge cultures, build friendships and cultivate peace.",,
23,FP,O,DATE_TIME,8,energetic and driven salesperson with 8+ years of professional experience in inbound and outbound sales. awarded salesperson of the month three times. helped increase inbound sales by 16% within the first year of employment. looking to support foursquare in barra de carrasco 15000 in its mission to become a market-leading solution.,,
24,FP,O,DATE_TIME,following,"Magnus spent a year at Simpletuition as the assistant to Magnus Poulsen, and the following year at Numedii in Cheb 2, which later became Berkery Noyes Mandasoft in 2019.",,
25,FP,O,DATE_TIME,following,"Valida spent a year at Mhealthcoach as the assistant to Valida M. Ibragimov, and the following year at Walk Score in ÅLESUND, which later became Adaptive in 2001.",,
26,FP,O,DATE_TIME,couple,follow up with benjamin a seiler in a couple of months.,,
27,FP,O,DATE_TIME,following,"Nikolaj spent a year at Datamarket as the assistant to Nikolaj Petrussen, and the following year at Sigfig in Camuns, which later became Suddath in 2002.",,
28,FP,O,DATE_TIME,10th,"Celebrating its 10th year in STAVANGER, Betterlesson is a 501(c)3 that invites songwriters from around the world to Auroratown to share the universal language of music in collaborations designed to bridge cultures, build friendships and cultivate peace.",,
29,FP,O,DATE_TIME,8,Energetic and driven salesperson with 8+ years of professional experience in inbound and outbound sales. Awarded Salesperson of the Month three times. Helped increase inbound sales by 16% within the first year of employment. Looking to support Allianz in Acquapendente 1021 in its mission to become a market-leading solution.,,
30,FP,O,DATE_TIME,couple,Follow up with Jan Jílek in a couple of months.,,
31,FP,O,DATE_TIME,8,Energetic and driven salesperson with 8+ years of professional experience in inbound and outbound sales. Awarded Salesperson of the Month three times. Helped increase inbound sales by 16% within the first year of employment. Looking to support Slashdb in ARENDAL 4844 in its mission to become a market-leading solution.,,
32,FP,O,DATE_TIME,couple,follow up with monika žilková in a couple of months.,,
33,FP,O,DATE_TIME,60s,"""The big three"" of The Big Three Killed My Baby are the car manufacturers that dominate the economy of the White Stripes' home city Voorburg: Nera Economic Consulting, Blackrock and Greatschools. ""Don't feed me planned obsolescence,"" says Clara R. Dickson in an uncharacteristically political song, lamenting the demise of the unions in the 60s.",,
34,FP,O,DATE_TIME,Sunday,"At my suggestion, one morning over breakfast, she agreed, and on the last Sunday before Labor Day we returned to Deanwell by helicopter.",,
35,FP,O,DATE_TIME,Labor,"At my suggestion, one morning over breakfast, she agreed, and on the last Sunday before Labor Day we returned to Deanwell by helicopter.",,
36,FP,O,DATE_TIME,8,Energetic and driven salesperson with 8+ years of professional experience in inbound and outbound sales. Awarded Salesperson of the Month three times. Helped increase inbound sales by 16% within the first year of employment. Looking to support Google Public Data Explorer in ÖVERTURINGEN 840 24 in its mission to become a market-leading solution.,,
37,FP,O,DATE_TIME,Sunday,"At my suggestion, one morning over breakfast, she agreed, and on the last Sunday before Labor Day we returned to San Bernardino by helicopter.",,
38,FP,O,DATE_TIME,Labor,"At my suggestion, one morning over breakfast, she agreed, and on the last Sunday before Labor Day we returned to San Bernardino by helicopter.",,
39,FP,O,DATE_TIME,following,"Jens spent a year at Teradata as the assistant to Jens Kreutzmann, and the following year at Ngap Incorporated in KATRINEHOLM, which later became Loqate Inc in 2004.",,
40,FP,O,DATE_TIME,Sunday,"At my suggestion, one morning over breakfast, she agreed, and on the last Sunday before Labor Day we returned to Altoona by helicopter.",,
41,FP,O,DATE_TIME,Labor,"At my suggestion, one morning over breakfast, she agreed, and on the last Sunday before Labor Day we returned to Altoona by helicopter.",,
42,FP,O,DATE_TIME,Sunday,"At my suggestion, one morning over breakfast, she agreed, and on the last Sunday before Labor Day we returned to ESPOO by helicopter.",,
43,FP,O,DATE_TIME,Labor,"At my suggestion, one morning over breakfast, she agreed, and on the last Sunday before Labor Day we returned to ESPOO by helicopter.",,
44,FP,O,DATE_TIME,Sunday,"At my suggestion, one morning over breakfast, she agreed, and on the last Sunday before Labor Day we returned to LYCKSELE by helicopter.",,
45,FP,O,DATE_TIME,Labor,"At my suggestion, one morning over breakfast, she agreed, and on the last Sunday before Labor Day we returned to LYCKSELE by helicopter.",,
46,FP,O,DATE_TIME,8,Energetic and driven salesperson with 8+ years of professional experience in inbound and outbound sales. Awarded Salesperson of the Month three times. Helped increase inbound sales by 16% within the first year of employment. Looking to support Zonability in Tokoza Ext 1426 in its mission to become a market-leading solution.,,
47,FP,O,DATE_TIME,60s,"""The big three"" of The Big Three Killed My Baby are the car manufacturers that dominate the economy of the White Stripes' home city Messina: Infocommerce Group, Citigroup and 3 Round Stones Inc. ""Don't feed me planned obsolescence,"" says Cettina Fanucci in an uncharacteristically political song, lamenting the demise of the unions in the 60s.",,
48,FP,O,DATE_TIME,60s,"""The big three"" of The Big Three Killed My Baby are the car manufacturers that dominate the economy of the White Stripes' home city ΛΕΥΚΩΣΙΑ: Optuminsight, Karmadata and Berkery Noyes Mandasoft. ""Don't feed me planned obsolescence,"" says Jana Pátková in an uncharacteristically political song, lamenting the demise of the unions in the 60s.",,
49,FP,O,DATE_TIME,Sunday,"At my suggestion, one morning over breakfast, she agreed, and on the last Sunday before Labor Day we returned to Edmonton by helicopter.",,
50,FP,O,DATE_TIME,Labor,"At my suggestion, one morning over breakfast, she agreed, and on the last Sunday before Labor Day we returned to Edmonton by helicopter.",,
51,FP,O,DATE_TIME,8,Energetic and driven salesperson with 8+ years of professional experience in inbound and outbound sales. Awarded Salesperson of the Month three times. Helped increase inbound sales by 16% within the first year of employment. Looking to support Connotate in Costamezzana 43015 in its mission to become a market-leading solution.,,
52,FP,O,DATE_TIME,couple,Follow up with Satsita Umkhayev in a couple of months.,,
