,error_type,annotation,prediction,token,full_text,sample_id,0
0,FN,ORGANIZATION,O,Persint,"The address of Persint is 6750 Koskikatu 25 Apt. 864
Artilleros
, CO
 Uruguay 64677",,
1,FN,ORGANIZATION,O,Exversion,"The Exversion Orchestra was founded in 1977. Since then, it has grown from a volunteer community orchestra to a fully professional orchestra serving Southern Tunisia",,
2,FN,ORGANIZATION,O,Microbilt,"Microbilt Corporation is the brainchild of our 3 founders: Kónya, Becker and Vasquez.  The idea was born (on the beach) while they were constructing a website to be the basis of another start-up idea.",,
3,FN,ORGANIZATION,O,Corporation,"Microbilt Corporation is the brainchild of our 3 founders: Kónya, Becker and Vasquez.  The idea was born (on the beach) while they were constructing a website to be the basis of another start-up idea.",,
4,FN,ORGANIZATION,O,Verdafero,"Verdafero is the brainchild of our 3 founders: Eklund, Michael and Hodge.  The idea was born (on the beach) while they were constructing a website to be the basis of another start-up idea.",,
5,FN,ORGANIZATION,O,Propublica,The Propublica office is at Růžena and Király u. 15.,,
6,FN,ORGANIZATION,O,Mayo,"During 1971, Mayo-Walters invested heavily in new microprocessor designs fostering the rapid growth of the computer industry.",,
7,FN,ORGANIZATION,O,Walters,"During 1971, Mayo-Walters invested heavily in new microprocessor designs fostering the rapid growth of the computer industry.",,
8,FN,ORGANIZATION,O,Williamson,"The Davis, Reynolds and Williamson Orchestra was founded in 1977. Since then, it has grown from a volunteer community orchestra to a fully professional orchestra serving Southern Italy",,
9,FN,ORGANIZATION,O,Aunt,I work for Aunt Bertha Inc,,
10,FN,ORGANIZATION,O,Bertha,I work for Aunt Bertha Inc,,
11,FN,ORGANIZATION,O,Hawkins,"Tomomi is from Hawkins, Richardson and Santana",,
12,FN,ORGANIZATION,O,Richardson,"Tomomi is from Hawkins, Richardson and Santana",,
13,FN,ORGANIZATION,O,Capital,Hanne I. Kreutzmann from Can Capital is the keynote speaker,,
14,FN,ORGANIZATION,O,Rivas,"Alvir spent a year at Weeks-Rivas as the assistant to Alvir D. Pušaver, and the following year at Healthpocket Inc in SCHLAGLES, which later became Credit Karma in 1980.",,
15,FN,ORGANIZATION,O,Healthpocket,"Alvir spent a year at Weeks-Rivas as the assistant to Alvir D. Pušaver, and the following year at Healthpocket Inc in SCHLAGLES, which later became Credit Karma in 1980.",,
16,FN,ORGANIZATION,O,Credit,"Alvir spent a year at Weeks-Rivas as the assistant to Alvir D. Pušaver, and the following year at Healthpocket Inc in SCHLAGLES, which later became Credit Karma in 1980.",,
17,FN,ORGANIZATION,O,Karma,"Alvir spent a year at Weeks-Rivas as the assistant to Alvir D. Pušaver, and the following year at Healthpocket Inc in SCHLAGLES, which later became Credit Karma in 1980.",,
18,FN,ORGANIZATION,O,Compliance,"The address of Compliance And Risks is 9554 62 Rue Gafsa Apt. 981
Toronto
, ON
 82269",,
19,FN,ORGANIZATION,O,Risks,"The address of Compliance And Risks is 9554 62 Rue Gafsa Apt. 981
Toronto
, ON
 82269",,
20,FN,ORGANIZATION,O,White,"""The big three"" of The Big Three Killed My Baby are the car manufacturers that dominate the economy of the White Stripes' home city Villafranca del Cid: White, Willis and Hoffman, Lucid and Loveland Technologies. ""Don't feed me planned obsolescence,"" says Liisa Lepistö in an uncharacteristically political song, lamenting the demise of the unions in the 60s.",,
21,FN,ORGANIZATION,O,Lucid,"""The big three"" of The Big Three Killed My Baby are the car manufacturers that dominate the economy of the White Stripes' home city Villafranca del Cid: White, Willis and Hoffman, Lucid and Loveland Technologies. ""Don't feed me planned obsolescence,"" says Liisa Lepistö in an uncharacteristically political song, lamenting the demise of the unions in the 60s.",,
22,FN,ORGANIZATION,O,Loveland,"""The big three"" of The Big Three Killed My Baby are the car manufacturers that dominate the economy of the White Stripes' home city Villafranca del Cid: White, Willis and Hoffman, Lucid and Loveland Technologies. ""Don't feed me planned obsolescence,"" says Liisa Lepistö in an uncharacteristically political song, lamenting the demise of the unions in the 60s.",,
23,FN,ORGANIZATION,O,Technologies,"""The big three"" of The Big Three Killed My Baby are the car manufacturers that dominate the economy of the White Stripes' home city Villafranca del Cid: White, Willis and Hoffman, Lucid and Loveland Technologies. ""Don't feed me planned obsolescence,"" says Liisa Lepistö in an uncharacteristically political song, lamenting the demise of the unions in the 60s.",,
24,FN,ORGANIZATION,O,Peerj,The address of Peerj is 9721 Dalmatinova 43 Apt. 678 Velenje nan,,
25,FN,ORGANIZATION,O,Social,"The Social Health Insights Orchestra was founded in 2002. Since then, it has grown from a volunteer community orchestra to a fully professional orchestra serving Southern Austria",,
26,FN,ORGANIZATION,O,Health,"The Social Health Insights Orchestra was founded in 2002. Since then, it has grown from a volunteer community orchestra to a fully professional orchestra serving Southern Austria",,
27,FN,ORGANIZATION,O,Insights,"The Social Health Insights Orchestra was founded in 2002. Since then, it has grown from a volunteer community orchestra to a fully professional orchestra serving Southern Austria",,
28,FN,ORGANIZATION,O,Factset,Energetic and driven salesperson with 8+ years of professional experience in inbound and outbound sales. Awarded Salesperson of the Month three times. Helped increase inbound sales by 16% within the first year of employment. Looking to support Factset in Bjert 6091 in its mission to become a market-leading solution.,,
29,FN,ORGANIZATION,O,Allstate,"Asya spent a year at Allstate Insurance Group as the assistant to Asya Godina, and the following year at Balefire Global in Amsterdam, which later became Zillow in 2014.",,
30,FN,ORGANIZATION,O,Insurance,"Asya spent a year at Allstate Insurance Group as the assistant to Asya Godina, and the following year at Balefire Global in Amsterdam, which later became Zillow in 2014.",,
